iter	Passed	Remaining
1570	21682	19722
1571	21694	19707
1572	21707	19692
1573	21721	19679
1574	21730	19661
1575	21744	19647
1576	21758	19633
1577	21771	19619
1578	21786	19606
1579	21800	19592
1580	21811	19576
1581	21820	19558
1582	21830	19541
1583	21845	19528
1584	21858	19514
1585	21874	19501
1586	21887	19487
1587	21900	19473
1588	21911	19457
1589	21921	19439
1590	21932	19423
1591	21943	19406
1592	21956	19392
1593	21969	19378
1594	21978	19360
1595	21991	19346
1596	22006	19332
1597	22019	19318
1598	22028	19301
1599	22041	19285
1600	22053	19271
1601	22063	19254
1602	22076	19239
1603	22089	19224
1604	22098	19206
1605	22111	19192
1606	22124	19178
1607	22137	19163
1608	22148	19147
1609	22158	19130
1610	22167	19113
1611	22180	19098
1612	22193	19083
1613	22202	19066
1614	22216	19052
1615	22227	19036
1616	22241	19022
1617	22254	19008
1618	22269	18995
1619	22283	18982
1620	22296	18967
1621	22308	18953
1622	22322	18938
1623	22335	18924
1624	22344	18907
1625	22357	18892
1626	22370	18878
1627	22383	18864
1628	22395	18848
1629	22403	18830
1630	22413	18812
1631	22427	18799
1632	22440	18785
1633	22452	18770
1634	22463	18754
1635	22478	18740
1636	22490	18726
1637	22503	18712
1638	22513	18694
1639	22523	18677
1640	22536	18663
1641	22545	18646
1642	22559	18632
1643	22569	18615
1644	22583	18602
1645	22596	18588
1646	22606	18571
1647	22619	18556
1648	22632	18542
1649	22645	18528
1650	22656	18512
1651	22668	18497
1652	22678	18480
1653	22691	18466
1654	22706	18453
1655	22719	18439
1656	22730	18423
1657	22743	18409
1658	22756	18394
1659	22769	18380
1660	22780	18363
1661	22793	18349
1662	22806	18335
1663	22816	18319
1664	22826	18302
1665	22840	18288
